2020-03-23 10:34:19,818 [main] INFO  [c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor] EnableEncryptablePropertiesBeanFactoryPostProcessor.java:50 - Post-processing PropertySource instances
2020-03-23 10:34:23,612 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource applicationConfig: [classpath:/application.properties] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-23 10:34:23,612 [main] INFO  [c.u.j.EncryptablePropertySourceConverter] EncryptablePropertySourceConverter.java:38 - Converting PropertySource springCloudDefaultProperties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-23 10:34:23,628 [main] INFO  [c.u.j.filter.DefaultLazyPropertyFilter] DefaultLazyPropertyFilter.java:31 - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2020-03-23 10:34:23,946 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,954 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$7dd50b1e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,961 [main] INFO  [c.u.j.resolver.DefaultLazyPropertyResolver] DefaultLazyPropertyResolver.java:31 - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2020-03-23 10:34:23,961 [main] INFO  [c.u.j.detector.DefaultLazyPropertyDetector] DefaultLazyPropertyDetector.java:30 - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2020-03-23 10:34:23,962 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'spring.datasource-com.pig4cloud.pig.common.datasource.config.DataSourceProperties' of type [com.pig4cloud.pig.common.datasource.config.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,964 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'com.pig4cloud.pig.common.datasource.DynamicDataSourceAutoConfiguration' of type [com.pig4cloud.pig.common.datasource.DynamicDataSourceAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,965 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'dsProcessor' of type [com.pig4cloud.pig.common.datasource.config.LastParamDsProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,971 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,984 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,987 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,992 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@21a46ff1' of type [org.springframework.security.oauth2.provider.expression.OAuth2MethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:23,995 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:24,001 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] PostProcessorRegistrationDelegate.java:330 - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-23 10:34:24,266 [main] WARN  [io.undertow.websockets.jsr] Bootstrap.java:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2020-03-23 10:34:24,292 [main] INFO  [io.undertow.servlet] ServletContextImpl.java:364 - Initializing Spring embedded WebApplicationContext
2020-03-23 10:34:24,293 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 2164 ms
2020-03-23 10:34:24,403 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2020-03-23 10:34:24,404 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-03-23 10:34:24,415 [main] INFO  [com.netflix.config.DynamicPropertyFactory] DynamicPropertyFactory.java:281 - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@226d5af0
2020-03-23 10:34:26,222 [main] INFO  [com.alibaba.nacos.client.naming] InitUtils.java:56 - initializer namespace from System Property :null
2020-03-23 10:34:26,223 [main] INFO  [com.alibaba.nacos.client.naming] InitUtils.java:65 - initializer namespace from System Environment :null
2020-03-23 10:34:26,223 [main] INFO  [com.alibaba.nacos.client.naming] InitUtils.java:75 - initializer namespace from System Property :null
2020-03-23 10:34:26,249 [main] INFO  [c.b.d.d.provider.AbstractJdbcDataSourceProvider] AbstractJdbcDataSourceProvider.java:70 - 成功加载数据库驱动程序
2020-03-23 10:34:26,341 [main] INFO  [c.b.d.d.provider.AbstractJdbcDataSourceProvider] AbstractJdbcDataSourceProvider.java:72 - 成功获取数据库连接
2020-03-23 10:34:26,354 [main] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:80 - master - Starting...
2020-03-23 10:34:26,367 [main] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:82 - master - Start completed.
2020-03-23 10:34:26,371 [main] INFO  [c.b.dynamic.datasource.DynamicRoutingDataSource] DynamicRoutingDataSource.java:148 - dynamic-datasource - load a datasource named [master] success
2020-03-23 10:34:26,371 [main] INFO  [c.b.dynamic.datasource.DynamicRoutingDataSource] DynamicRoutingDataSource.java:235 - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2020-03-23 10:34:26,624 [main] INFO  [o.s.b.a.endpoint.web.ServletEndpointRegistrar] ServletEndpointRegistrar.java:75 - Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2020-03-23 10:34:26,624 [main] INFO  [o.s.b.a.endpoint.web.ServletEndpointRegistrar] ServletEndpointRegistrar.java:75 - Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2020-03-23 10:34:29,010 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:32 - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
2020-03-23 10:34:29,017 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWithMD5AndDES
2020-03-23 10:34:29,018 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.keyObtentionIterations, using default value: 1000
2020-03-23 10:34:29,018 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.poolSize, using default value: 1
2020-03-23 10:34:29,018 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.providerName, using default value: null
2020-03-23 10:34:29,018 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.providerClassName, using default value: null
2020-03-23 10:34:29,019 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.saltGeneratorClassname, using default value: org.jasypt.salt.RandomSaltGenerator
2020-03-23 10:34:29,020 [main] INFO  [c.u.j.encryptor.DefaultLazyEncryptor] DefaultLazyEncryptor.java:58 - Encryptor config not found for property jasypt.encryptor.stringOutputType, using default value: base64
2020-03-23 10:34:30,195 [main] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] EndpointLinksResolver.java:58 - Exposing 22 endpoint(s) beneath base path '/actuator'
2020-03-23 10:34:30,366 [main] WARN  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:121 - No URLs will be polled as dynamic configuration sources.
2020-03-23 10:34:30,366 [main] INFO  [com.netflix.config.sources.URLConfigurationSource] URLConfigurationSource.java:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-03-23 10:34:30,493 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-23 10:34:30,756 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2020-03-23 10:34:30,916 [main] INFO  [s.d.s.w.PropertySourcedRequestMappingHandlerMapping] PropertySourcedRequestMappingHandlerMapping.java:69 - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-03-23 10:34:31,204 [main] INFO  [o.s.security.web.DefaultSecurityFilterChain] DefaultSecurityFilterChain.java:43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3ee68eb2, org.springframework.security.web.context.SecurityContextPersistenceFilter@73a1a1b4, org.springframework.security.web.header.HeaderWriterFilter@58d79479, org.springframework.security.web.authentication.logout.LogoutFilter@11577ab8, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@57e6d56a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39a30d1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@58c36104, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7348e75e, org.springframework.security.web.session.SessionManagementFilter@470a446f, org.springframework.security.web.access.ExceptionTranslationFilter@aaa7000, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@361d8567]
2020-03-23 10:34:32,863 [main] INFO  [s.d.s.web.plugins.DocumentationPluginsBootstrapper] DocumentationPluginsBootstrapper.java:160 - Context refreshed
2020-03-23 10:34:32,873 [main] INFO  [s.d.s.web.plugins.DocumentationPluginsBootstrapper] DocumentationPluginsBootstrapper.java:163 - Found 1 custom documentation plugin(s)
2020-03-23 10:34:32,904 [main] INFO  [s.d.spring.web.scanners.ApiListingReferenceScanner] ApiListingReferenceScanner.java:41 - Scanning for api listing references
2020-03-23 10:34:33,015 [main] INFO  [s.d.s.w.r.operation.CachingOperationNameGenerator] CachingOperationNameGenerator.java:40 - Generating unique operation named: getByIdUsingGET_1
2020-03-23 10:34:33,023 [main] INFO  [s.d.s.w.r.operation.CachingOperationNameGenerator] CachingOperationNameGenerator.java:40 - Generating unique operation named: removeByIdUsingDELETE_1
2020-03-23 10:34:33,053 [main] INFO  [io.undertow] Undertow.java:117 - starting server: Undertow - 2.0.29.Final
2020-03-23 10:34:33,060 [main] INFO  [org.xnio] Xnio.java:104 - XNIO version 3.3.8.Final
2020-03-23 10:34:33,073 [main] INFO  [org.xnio.nio] NioXnio.java:55 - XNIO NIO Implementation Version 3.3.8.Final
2020-03-23 10:34:33,134 [main] INFO  [o.s.b.w.embedded.undertow.UndertowServletWebServer] UndertowServletWebServer.java:144 - Undertow started on port(s) 5002 (http) with context path ''
2020-03-23 10:34:33,137 [main] INFO  [com.alibaba.nacos.client.naming] BeatReactor.java:58 - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"192.168.1.178","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":5002,"scheduled":false,"serviceName":"DEFAULT_GROUP@@pig-codegen","stopped":false,"weight":1.0} to beat map.
2020-03-23 10:34:33,197 [main] INFO  [com.alibaba.nacos.client.naming] NamingProxy.java:175 - [REGISTER-SERVICE] public registering service DEFAULT_GROUP@@pig-codegen with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.1.178","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":5002,"weight":1.0}
2020-03-23 10:34:33,205 [main] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:65 - nacos registry, DEFAULT_GROUP pig-codegen 192.168.1.178:5002 register finished
2020-03-23 10:34:34,625 [main] INFO  [com.pig4cloud.pig.codegen.PigCodeGenApplication] StartupInfoLogger.java:61 - Started PigCodeGenApplication in 17.197 seconds (JVM running for 18.983)
2020-03-23 10:34:34,629 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:202 - [fixed-pig-register_8848] [subscribe] pig-codegen+DEFAULT_GROUP
2020-03-23 10:34:34,629 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:79 - [fixed-pig-register_8848] [add-listener] ok, tenant=, dataId=pig-codegen, group=DEFAULT_GROUP, cnt=1
2020-03-23 10:34:34,629 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:202 - [fixed-pig-register_8848] [subscribe] pig-codegen.yml+DEFAULT_GROUP
2020-03-23 10:34:34,629 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:79 - [fixed-pig-register_8848] [add-listener] ok, tenant=, dataId=pig-codegen.yml, group=DEFAULT_GROUP, cnt=1
2020-03-23 10:34:34,630 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:202 - [fixed-pig-register_8848] [subscribe] pig-codegen-dev.yml+DEFAULT_GROUP
2020-03-23 10:34:34,630 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:79 - [fixed-pig-register_8848] [add-listener] ok, tenant=, dataId=pig-codegen-dev.yml, group=DEFAULT_GROUP, cnt=1
2020-03-23 10:34:34,922 [boundedElastic-1] INFO  [io.lettuce.core.EpollProvider] EpollProvider.java:68 - Starting without optional epoll library
2020-03-23 10:34:34,924 [boundedElastic-1] INFO  [io.lettuce.core.KqueueProvider] KqueueProvider.java:70 - Starting without optional kqueue library
2020-03-23 10:34:36,568 [RMI TCP Connection(5)-192.168.6.1] INFO  [io.undertow.servlet] ServletContextImpl.java:364 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-23 10:34:36,568 [RMI TCP Connection(5)-192.168.6.1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2020-03-23 10:34:36,582 [RMI TCP Connection(5)-192.168.6.1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 13 ms
2020-03-23 10:35:38,680 [XNIO-1 task-5] INFO  [com.netflix.config.ChainedDynamicProperty] ChainedDynamicProperty.java:115 - Flipping property: pig-auth.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-03-23 10:35:38,695 [XNIO-1 task-5] INFO  [com.netflix.loadbalancer.BaseLoadBalancer] BaseLoadBalancer.java:197 - Client: pig-auth instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=pig-auth,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2020-03-23 10:35:38,698 [XNIO-1 task-5] INFO  [c.n.loadbalancer.DynamicServerListLoadBalancer] DynamicServerListLoadBalancer.java:222 - Using serverListUpdater PollingServerListUpdater
2020-03-23 10:35:38,716 [XNIO-1 task-5] INFO  [com.alibaba.nacos.client.naming] HostReactor.java:164 - new ips(1) service: DEFAULT_GROUP@@pig-auth -> [{"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceId":"192.168.1.178#3000#DEFAULT#DEFAULT_GROUP@@pig-auth","ip":"192.168.1.178","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":3000,"serviceName":"DEFAULT_GROUP@@pig-auth","weight":1.0}]
2020-03-23 10:35:38,722 [XNIO-1 task-5] INFO  [com.alibaba.nacos.client.naming] HostReactor.java:200 - current ips:(1) service: DEFAULT_GROUP@@pig-auth -> [{"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceId":"192.168.1.178#3000#DEFAULT#DEFAULT_GROUP@@pig-auth","ip":"192.168.1.178","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":3000,"serviceName":"DEFAULT_GROUP@@pig-auth","weight":1.0}]
2020-03-23 10:35:38,729 [XNIO-1 task-5] INFO  [com.netflix.config.ChainedDynamicProperty] ChainedDynamicProperty.java:115 - Flipping property: pig-auth.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-03-23 10:35:38,731 [XNIO-1 task-5] INFO  [c.n.loadbalancer.DynamicServerListLoadBalancer] DynamicServerListLoadBalancer.java:150 - DynamicServerListLoadBalancer for client pig-auth initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=pig-auth,current list of Servers=[192.168.1.178:3000],Load balancer stats=Zone stats: {unknown=[Zone:unknown;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
